INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [1.3484901519573986, -2.3859834006511313, 2.2389229927111245, -0.792183923213754, -1.0718442932344963, -1.116559109844184, -2.1709045751900122, -0.32028555885919374, 0.127823842933803, 1.2834751534718984]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921523, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921523, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921523, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921523, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921524, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [0, 0, 0, 0, 1, 0, 0, 1, 0, 0], "hlc": [921523, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [0, 1, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921523, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 1, 0, 0, 0, 2, 0, 0, 0, 1], "hlc": [921524, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 1, 0], "hlc": [921523, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 2], "hlc": [921525, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921525, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921523, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921526, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921523, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 0, 0, 2, 0, 0, 1, 0, 0], "hlc": [921523, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [0, 1, 0, 0, 0, 3, 0, 0, 0, 1], "hlc": [921524, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 2, 0, 1, 0], "hlc": [921523, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921523, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 2, 0], "hlc": [921524, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 3], "hlc": [921525, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [2, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921526, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [0, 3, 0, 0, 0, 0, 2, 0, 1, 0], "hlc": [921523, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 4, 0, 0, 0, 0, 2, 2, 1, 0], "hlc": [921523, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [0, 5, 0, 0, 0, 0, 2, 2, 2, 0], "hlc": [921524, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [0, 0, 1, 3, 0, 0, 0, 0, 0, 0], "hlc": [921526, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [0, 0, 0, 2, 0, 0, 3, 0, 1, 0], "hlc": [921523, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [0, 0, 0, 2, 2, 0, 4, 1, 1, 0], "hlc": [921523, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [1, 0, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921525, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [1, 1, 0, 0, 0, 3, 0, 4, 0, 1], "hlc": [921525, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [1, 1, 0, 1, 0, 3, 0, 5, 0, 3], "hlc": [921525, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 1, 4, 0, 0, 0, 0, 0, 0], "hlc": [921526, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 0, 0, 3, 0, 0, 1, 0, 0], "hlc": [921523, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 1, 0, 0, 0, 4, 0, 0, 0, 1], "hlc": [921524, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 2, 2, 0, 5, 1, 1, 0], "hlc": [921523, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 1, 0, 1, 0, 3, 0, 6, 0, 3], "hlc": [921525, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], "hlc": [921526, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [0, 6, 0, 0, 0, 4, 2, 2, 2, 1], "hlc": [921524, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [1, 7, 0, 1, 0, 4, 2, 6, 2, 3], "hlc": [921525, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [1, 8, 0, 1, 0, 4, 2, 6, 2, 4], "hlc": [921526, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 0, 1, 5, 2, 0, 5, 1, 1, 0], "hlc": [921526, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [0, 1, 1, 4, 0, 5, 0, 0, 0, 1], "hlc": [921526, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [0, 1, 1, 4, 3, 6, 0, 1, 0, 1], "hlc": [921526, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [3, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921526, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [1, 9, 0, 1, 0, 4, 2, 6, 2, 4], "hlc": [921526, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 0, 1, 6, 2, 0, 5, 1, 1, 0], "hlc": [921526, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [0, 1, 1, 4, 3, 7, 0, 1, 0, 1], "hlc": [921526, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 2, 2, 0, 6, 1, 1, 0], "hlc": [921523, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 3, 0], "hlc": [921525, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 3, 0], "hlc": [921527, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 0, 1, 7, 2, 0, 6, 1, 1, 0], "hlc": [921526, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [3, 2, 0, 0, 4, 0, 0, 1, 0, 0], "hlc": [921526, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [3, 9, 0, 1, 5, 4, 2, 6, 2, 4], "hlc": [921526, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [3, 9, 1, 6, 6, 4, 5, 6, 2, 4], "hlc": [921526, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [0, 1, 1, 4, 3, 7, 0, 1, 0, 5], "hlc": [921527, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [1, 10, 0, 1, 0, 4, 2, 6, 2, 4], "hlc": [921526, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [0, 0, 3, 0, 0, 0, 0, 0, 3, 0], "hlc": [921527, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 1, 8, 2, 0, 6, 1, 1, 0], "hlc": [921526, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [0, 1, 1, 4, 3, 8, 0, 1, 0, 1], "hlc": [921526, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 0, 0, 2, 2, 0, 7, 1, 1, 0], "hlc": [921523, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 4, 0], "hlc": [921525, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 1, 1, 4, 3, 7, 0, 1, 0, 6], "hlc": [921527, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [0, 1, 1, 8, 3, 9, 6, 1, 1, 1], "hlc": [921526, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 1, 1, 8, 3, 10, 6, 1, 4, 1], "hlc": [921526, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 1, 1, 8, 3, 11, 6, 1, 4, 6], "hlc": [921527, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [1, 10, 0, 2, 2, 4, 8, 6, 2, 4], "hlc": [921526, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [1, 10, 1, 4, 3, 8, 9, 6, 2, 4], "hlc": [921526, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [0, 0, 0, 2, 2, 0, 7, 1, 5, 0], "hlc": [921526, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [0, 1, 3, 4, 3, 7, 0, 1, 3, 7], "hlc": [921527, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [4, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921527, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [1, 11, 0, 1, 0, 4, 2, 6, 2, 4], "hlc": [921526, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 0, 1, 9, 2, 0, 6, 1, 1, 0], "hlc": [921526, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [3, 9, 1, 6, 7, 4, 5, 6, 2, 4], "hlc": [921526, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 1, 1, 8, 3, 12, 6, 1, 4, 6], "hlc": [921527, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [1, 10, 1, 4, 3, 8, 10, 6, 2, 4], "hlc": [921526, 8]}
