INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [1.912099953686619, 0.9986432319593135, -2.6198438239782686, -3.2048551470878146, -2.446097318752111, 0.13529960420368603, -2.341315832318916, -2.6302020779983644, -0.30803593154872866, 1.524726184511696]
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921536, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921538, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 1, 0], "hlc": [921536, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 2, 1], "hlc": [921538, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921538, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 1, 0], "hlc": [921536, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921536, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921536, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921537, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921536, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 2], "hlc": [921538, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [1, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921539, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [2, 0, 0, 1, 0, 1, 0, 0, 0, 0], "hlc": [921539, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [0, 0, 3, 0, 1, 0, 0, 0, 1, 0], "hlc": [921536, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [0, 0, 0, 0, 2, 0, 0, 1, 0, 0], "hlc": [921536, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [0, 1, 0, 0, 0, 2, 0, 0, 0, 0], "hlc": [921538, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [0, 1, 2, 0, 0, 3, 0, 0, 1, 0], "hlc": [921538, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 3, 2], "hlc": [921538, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [3, 0, 0, 1, 0, 1, 0, 0, 0, 0], "hlc": [921539, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921538, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 0, 4, 0, 1, 0, 0, 0, 1, 0], "hlc": [921536, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921536, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 0, 0, 3, 0, 0, 1, 0, 0], "hlc": [921536, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [0, 1, 2, 0, 0, 4, 0, 0, 1, 0], "hlc": [921538, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 4, 2], "hlc": [921538, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 3], "hlc": [921539, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [0, 3, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921539, 0]}
