INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-0.48313919518143633, -3.118698743003673, 2.820022420439673, 0.6018766187339608, 1.3632902781589111, 2.3712916049753687, -1.1797308063677479, -1.8421866366211952, -2.933293312555869, 1.508420287669197]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921538, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], "hlc": [921536, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921536, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921538, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0], "hlc": [921539, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [0, 0, 2, 0, 0, 0, 1, 0, 0, 1], "hlc": [921539, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [0, 1, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921537, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [0, 1, 0, 2, 0, 1, 0, 0, 0, 0], "hlc": [921538, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [0, 1, 0, 3, 0, 1, 0, 1, 0, 0], "hlc": [921538, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [1, 0, 0, 0, 0, 0, 2, 0, 0, 0], "hlc": [921536, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [1, 0, 0, 0, 0, 0, 3, 0, 0, 0], "hlc": [921536, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921536, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921536, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [0, 1, 0, 4, 0, 1, 0, 1, 1, 0], "hlc": [921538, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [2, 0, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921538, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [1, 0, 0, 0, 0, 0, 4, 2, 0, 0], "hlc": [921536, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 2], "hlc": [921539, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [1, 2, 0, 0, 0, 0, 3, 0, 0, 3], "hlc": [921539, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921536, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 0, 3, 0, 0, 0, 1, 0, 0, 1], "hlc": [921540, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [2, 0, 0, 0, 2, 0, 0, 0, 0, 0], "hlc": [921538, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [0, 0, 0, 0, 0, 2, 0, 0, 0, 0], "hlc": [921539, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [1, 0, 0, 0, 0, 0, 5, 2, 0, 0], "hlc": [921536, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [1, 2, 0, 0, 0, 0, 3, 0, 0, 4], "hlc": [921539, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [2, 4, 0, 0, 2, 0, 0, 0, 0, 0], "hlc": [921538, 2]}
