INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.118339347654729, 5.697516715882557, -5.709503533408842, 3.70384475669621, 2.6764642759852357, 3.6623357302487456, -5.6839423151664, 2.2176748197002834, 4.100212361441704, -3.3474575301089993]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921693, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921687, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921691, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921690, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], "hlc": [921687, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921689, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921691, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921687, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921693, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [2, 1, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921693, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 0, 0, 2, 0, 0, 1, 0, 0, 0], "hlc": [921691, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], "hlc": [921690, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [0, 0, 0, 0, 0, 1, 0, 1, 0, 0], "hlc": [921691, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 0, 0, 0, 0, 2, 0, 1, 1, 0], "hlc": [921691, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 0, 1], "hlc": [921690, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 2], "hlc": [921691, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 0, 0], "hlc": [921687, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 1, 0, 3, 0, 0, 0, 0, 0], "hlc": [921690, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 1], "hlc": [921690, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 2, 0], "hlc": [921692, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [3, 1, 1, 0, 3, 0, 0, 0, 0, 0], "hlc": [921693, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [0, 0, 1, 0, 4, 0, 0, 3, 0, 1], "hlc": [921691, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 0, 0, 0, 0, 3, 0, 1, 2, 0], "hlc": [921692, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 3, 0], "hlc": [921692, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [4, 1, 1, 0, 3, 0, 0, 0, 0, 0], "hlc": [921693, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [0, 0, 3, 0, 0, 0, 0, 0, 0, 0], "hlc": [921687, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [0, 0, 0, 3, 0, 0, 1, 0, 0, 0], "hlc": [921692, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 1, 0, 5, 0, 0, 3, 0, 1], "hlc": [921691, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 0, 0, 0, 2, 0, 0, 0], "hlc": [921687, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 0, 4, 0, 1], "hlc": [921690, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 4, 0], "hlc": [921692, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [5, 1, 1, 0, 5, 0, 0, 3, 0, 1], "hlc": [921693, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [6, 1, 1, 0, 5, 0, 2, 3, 0, 1], "hlc": [921693, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [0, 0, 1, 3, 6, 0, 1, 3, 0, 1], "hlc": [921692, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [4, 1, 1, 0, 3, 4, 0, 1, 2, 0], "hlc": [921693, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [0, 0, 0, 0, 0, 0, 3, 4, 0, 1], "hlc": [921690, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [0, 0, 3, 1, 0, 0, 0, 0, 0, 3], "hlc": [921691, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [0, 0, 3, 1, 0, 0, 0, 0, 4, 4], "hlc": [921692, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [0, 0, 4, 0, 0, 0, 0, 0, 0, 0], "hlc": [921687, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 0, 4, 0, 0, 1, 0, 0, 0], "hlc": [921692, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [0, 0, 1, 3, 7, 0, 1, 3, 0, 1], "hlc": [921692, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 4, 4, 0, 1], "hlc": [921690, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 5, 0, 1], "hlc": [921691, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 5, 0], "hlc": [921693, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 0, 3, 1, 0, 0, 0, 0, 4, 5], "hlc": [921692, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [0, 2, 4, 0, 0, 0, 0, 0, 0, 0], "hlc": [921695, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [0, 3, 4, 3, 7, 0, 1, 3, 0, 1], "hlc": [921695, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [0, 0, 1, 3, 8, 0, 4, 4, 0, 1], "hlc": [921692, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [4, 1, 1, 4, 3, 5, 1, 1, 2, 0], "hlc": [921693, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [0, 0, 3, 1, 0, 0, 5, 4, 4, 5], "hlc": [921692, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [0, 0, 3, 1, 0, 0, 0, 5, 4, 6], "hlc": [921692, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [0, 0, 3, 1, 0, 0, 0, 5, 5, 7], "hlc": [921693, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [7, 1, 1, 0, 5, 0, 2, 3, 0, 1], "hlc": [921693, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 0, 0, 5, 0, 0, 1, 0, 0, 0], "hlc": [921693, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 1, 3, 9, 0, 4, 4, 0, 1], "hlc": [921692, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 0, 6, 0, 1], "hlc": [921691, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 0, 2, 0, 0, 0, 0, 0, 6, 0], "hlc": [921693, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 3, 1, 0, 0, 0, 5, 5, 8], "hlc": [921693, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 0, 5, 5, 0, 0, 1, 0, 0, 0], "hlc": [921693, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [0, 0, 0, 6, 0, 0, 1, 6, 0, 1], "hlc": [921693, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [0, 0, 3, 3, 9, 0, 6, 4, 4, 5], "hlc": [921692, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [0, 0, 3, 3, 9, 0, 7, 4, 6, 5], "hlc": [921693, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [0, 0, 3, 1, 0, 0, 0, 7, 5, 8], "hlc": [921693, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [7, 1, 2, 0, 5, 0, 2, 3, 7, 1], "hlc": [921694, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [8, 1, 1, 0, 5, 0, 2, 3, 0, 1], "hlc": [921694, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 0, 0, 7, 0, 0, 1, 6, 0, 1], "hlc": [921693, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 1, 3, 10, 0, 4, 4, 0, 1], "hlc": [921692, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [4, 1, 1, 4, 3, 6, 1, 1, 2, 0], "hlc": [921693, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 0, 3, 1, 0, 0, 0, 8, 5, 8], "hlc": [921693, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [7, 1, 2, 0, 5, 0, 2, 3, 8, 1], "hlc": [921694, 1]}
