INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [1.0429606020280868, 5.919042147848273, -6.419345840661828, -0.515299478874538, 1.967350383842163, 0.10465308786227112, 4.095690795666412, -0.6063859378507788, -4.225248802207043, -0.6938742573471259]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921693, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921687, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921687, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921687, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921687, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921687, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921693, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [2, 1, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921693, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [0, 2, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921694, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 0, 2, 0, 0, 0, 0, 1, 0, 0], "hlc": [921687, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], "hlc": [921688, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [0, 0, 1, 0, 0, 0, 1, 0, 0, 0], "hlc": [921692, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [3, 1, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921693, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 3, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921694, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [0, 0, 3, 0, 0, 0, 0, 1, 0, 0], "hlc": [921687, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921690, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921687, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 2, 0], "hlc": [921687, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921687, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [3, 4, 0, 0, 0, 1, 0, 0, 1, 0], "hlc": [921694, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 0, 4, 0, 0, 0, 0, 2, 0, 0], "hlc": [921687, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [0, 0, 5, 0, 0, 0, 0, 2, 2, 0], "hlc": [921687, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [0, 0, 3, 2, 0, 0, 0, 1, 0, 0], "hlc": [921688, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [0, 3, 1, 0, 0, 1, 2, 0, 0, 0], "hlc": [921694, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [0, 3, 1, 0, 1, 1, 3, 0, 0, 0], "hlc": [921694, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 0, 1], "hlc": [921688, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [3, 5, 0, 0, 0, 1, 0, 0, 1, 0], "hlc": [921694, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 0, 6, 0, 0, 0, 0, 2, 2, 0], "hlc": [921687, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [0, 0, 0, 1, 0, 3, 0, 0, 0, 0], "hlc": [921688, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 3, 1, 0, 1, 1, 4, 0, 0, 0], "hlc": [921694, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 4, 0, 1], "hlc": [921688, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 2], "hlc": [921688, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [4, 1, 6, 0, 0, 0, 0, 2, 2, 0], "hlc": [921693, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [5, 1, 6, 1, 0, 3, 0, 2, 2, 0], "hlc": [921693, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [3, 6, 0, 0, 0, 1, 0, 4, 1, 1], "hlc": [921695, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 3, 7, 0, 1, 1, 4, 2, 2, 0], "hlc": [921694, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 0, 0, 1, 0, 4, 0, 0, 0, 2], "hlc": [921689, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [3, 5, 0, 0, 0, 1, 0, 0, 3, 0], "hlc": [921694, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [6, 1, 6, 1, 0, 3, 0, 2, 2, 0], "hlc": [921693, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [3, 7, 0, 0, 0, 1, 0, 4, 1, 1], "hlc": [921695, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 3, 8, 0, 1, 1, 4, 2, 2, 0], "hlc": [921694, 6]}
