INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [1.3959306515853207, -3.1334209064736394, -2.056964193643015, -7.460444967501718, -0.6339459155877094, 4.846404761654547, 0.3241498994679839, 5.565218479943878, 1.7825041362752305, 4.448884580952111]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921702, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921702, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921702, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], "hlc": [921707, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], "hlc": [921703, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921708, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921704, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921707, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [1, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921707, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [0, 0, 2, 0, 0, 1, 0, 0, 0, 0], "hlc": [921707, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [0, 0, 3, 0, 0, 1, 1, 0, 0, 0], "hlc": [921707, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 0, 4, 0, 0, 1, 1, 1, 0, 0], "hlc": [921708, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [0, 1, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921702, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [0, 0, 1, 0, 1, 0, 0, 0, 0, 0], "hlc": [921702, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 0, 0, 0, 0, 2, 0, 0, 1, 0], "hlc": [921708, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 2], "hlc": [921707, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921702, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 0, 5, 0, 0, 1, 1, 1, 0, 0], "hlc": [921708, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 0, 3, 0, 0, 0, 0, 0, 0], "hlc": [921702, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [0, 0, 1, 0, 2, 0, 0, 0, 0, 0], "hlc": [921702, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [0, 0, 0, 0, 0, 0, 2, 0, 0, 0], "hlc": [921703, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 0, 0], "hlc": [921708, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 3], "hlc": [921707, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [2, 0, 0, 0, 0, 0, 0, 2, 0, 1], "hlc": [921708, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 1, 6, 3, 0, 1, 1, 1, 0, 0], "hlc": [921708, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [0, 1, 1, 4, 2, 0, 0, 0, 0, 0], "hlc": [921702, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [0, 0, 1, 0, 3, 0, 2, 0, 0, 0], "hlc": [921703, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [0, 2, 0, 0, 0, 0, 0, 3, 0, 0], "hlc": [921709, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [0, 2, 0, 1, 0, 0, 0, 4, 0, 3], "hlc": [921709, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [0, 0, 5, 0, 0, 1, 1, 1, 2, 0], "hlc": [921708, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 5, 0, 0, 1, 1, 1, 3, 0], "hlc": [921708, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 4], "hlc": [921708, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 0, 0, 1, 0, 3, 0, 0, 1, 4], "hlc": [921709, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [0, 0, 5, 1, 0, 1, 1, 1, 3, 5], "hlc": [921708, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [3, 0, 0, 0, 0, 0, 0, 2, 0, 1], "hlc": [921708, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921702, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 1, 7, 3, 0, 1, 1, 1, 0, 0], "hlc": [921708, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 1, 5, 2, 0, 0, 0, 0, 0], "hlc": [921702, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 0, 1, 0, 4, 0, 2, 0, 0, 0], "hlc": [921703, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 3, 0, 0, 0], "hlc": [921704, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [0, 2, 0, 1, 0, 0, 0, 5, 0, 3], "hlc": [921709, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 0, 5, 0, 0, 1, 1, 1, 4, 0], "hlc": [921708, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [0, 0, 5, 1, 0, 1, 1, 1, 3, 6], "hlc": [921708, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [4, 0, 5, 1, 0, 1, 1, 2, 3, 6], "hlc": [921708, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [3, 1, 8, 3, 0, 1, 1, 2, 0, 1], "hlc": [921708, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [3, 1, 9, 5, 2, 1, 1, 2, 0, 1], "hlc": [921708, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [0, 1, 1, 6, 2, 0, 3, 0, 0, 0], "hlc": [921704, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [0, 3, 1, 0, 5, 0, 2, 0, 0, 0], "hlc": [921704, 0]}
