INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 47000, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [4.648863593844599, 2.9378035743289743, -9.206817491300141, 2.928536986528215, 6.329851417819398, 8.487552901438164, 0.09867814632269045, -7.331753829341031, -5.6506721372380095, -7.557279587484457]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921743, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921740, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], "hlc": [921743, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], "hlc": [921747, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [0, 0, 0, 0, 0, 0, 0, 1, 0, 0], "hlc": [921740, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0], "hlc": [921740, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1], "hlc": [921740, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [1, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921745, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [0, 1, 2, 0, 0, 0, 0, 0, 0, 0], "hlc": [921743, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [0, 1, 3, 1, 0, 0, 0, 0, 0, 0], "hlc": [921743, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [0, 1, 4, 1, 0, 0, 0, 1, 0, 0], "hlc": [921743, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [0, 0, 0, 0, 0, 1, 0, 0, 0, 1], "hlc": [921749, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [0, 0, 0, 0, 0, 0, 0, 2, 1, 0], "hlc": [921740, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 2, 0], "hlc": [921747, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921744, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 2, 0, 0, 0, 0, 0, 0], "hlc": [921744, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 0, 0, 0, 0, 2, 0, 0, 0, 1], "hlc": [921749, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 0, 3, 1, 0], "hlc": [921740, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 3, 0], "hlc": [921747, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [0, 0, 0, 3, 0, 0, 0, 3, 1, 0], "hlc": [921744, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [0, 0, 0, 0, 2, 2, 0, 0, 0, 1], "hlc": [921749, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [0, 0, 0, 0, 1, 0, 1, 0, 3, 0], "hlc": [921747, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [0, 2, 0, 0, 0, 0, 0, 0, 0, 2], "hlc": [921744, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [0, 2, 0, 2, 0, 0, 0, 0, 0, 3], "hlc": [921744, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], "hlc": [921746, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [0, 3, 0, 0, 0, 0, 0, 0, 0, 0], "hlc": [921744, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [0, 0, 0, 4, 0, 0, 0, 3, 1, 0], "hlc": [921744, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 0, 0, 0, 3, 2, 0, 0, 0, 1], "hlc": [921749, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [0, 0, 0, 0, 0, 3, 0, 0, 0, 1], "hlc": [921750, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [0, 0, 0, 0, 0, 0, 0, 4, 1, 0], "hlc": [921740, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 4, 0], "hlc": [921747, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [3, 0, 1, 0, 3, 2, 0, 0, 0, 1], "hlc": [921749, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [0, 4, 0, 0, 0, 0, 0, 4, 1, 0], "hlc": [921745, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [0, 0, 0, 5, 0, 3, 0, 3, 1, 1], "hlc": [921750, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [2, 0, 1, 0, 4, 2, 0, 0, 0, 1], "hlc": [921749, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [0, 3, 0, 0, 0, 4, 0, 0, 0, 1], "hlc": [921750, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [0, 0, 0, 4, 0, 0, 0, 5, 1, 0], "hlc": [921744, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [0, 0, 0, 4, 1, 0, 0, 6, 4, 0], "hlc": [921747, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [4, 0, 1, 0, 3, 2, 0, 0, 0, 1], "hlc": [921749, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 5, 0, 0, 0, 0, 0, 4, 1, 0], "hlc": [921745, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [0, 3, 0, 0, 0, 5, 0, 0, 0, 1], "hlc": [921750, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [0, 0, 0, 4, 1, 0, 0, 7, 4, 0], "hlc": [921747, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [0, 0, 0, 0, 1, 0, 0, 0, 5, 0], "hlc": [921747, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [0, 3, 5, 1, 0, 5, 0, 1, 0, 1], "hlc": [921750, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [0, 3, 6, 1, 1, 5, 0, 1, 5, 1], "hlc": [921750, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [4, 0, 1, 0, 3, 2, 2, 0, 3, 1], "hlc": [921749, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [4, 5, 1, 0, 3, 2, 3, 4, 3, 1], "hlc": [921749, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [0, 0, 0, 4, 1, 0, 0, 7, 6, 0], "hlc": [921747, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [5, 0, 1, 0, 3, 2, 0, 0, 0, 1], "hlc": [921749, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [0, 3, 7, 1, 1, 5, 0, 1, 5, 1], "hlc": [921750, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [0, 0, 0, 6, 0, 3, 0, 3, 1, 1], "hlc": [921750, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [2, 0, 1, 0, 5, 2, 0, 0, 0, 1], "hlc": [921749, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [0, 0, 0, 4, 1, 0, 0, 8, 4, 0], "hlc": [921747, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 0, 0, 4, 1, 0, 0, 7, 7, 0], "hlc": [921747, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 2, 0, 2, 0, 0, 0, 0, 0, 4], "hlc": [921744, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [0, 3, 7, 1, 1, 6, 0, 1, 5, 1], "hlc": [921751, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [0, 3, 7, 4, 1, 7, 0, 7, 7, 1], "hlc": [921751, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [5, 0, 1, 4, 3, 2, 0, 9, 4, 1], "hlc": [921749, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [5, 0, 1, 4, 5, 2, 0, 10, 4, 1], "hlc": [921749, 8]}
